Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,Points PF,Points.1 PA,Points.2 PD,Coaches,Top Players AV,Top Players.1 Passer,Top Players.2 Rusher,Top Players.3 Receiver,Off Rank Pts,Off Rank.1 Yds,Def Rank Pts,Def Rank.1 Yds,Overall Rank T/G,Overall Rank.1 Pts±,Overall Rank.2 Yds±,Overall Rank.3 out of,Simple Rating System MoV,Simple Rating System.1 SoS,Simple Rating System.2 SRS,Simple Rating System.3 OSRS,Simple Rating System.4 DSRS,Team
1953,NFL,Los Angeles Rams,8,3,1,3rd of 6,,366,236,130,Pool,,Van Brocklin,Towler,Hirsch,2,2,5,4,4,4,2,12,10.8,-3.3,7.5,7.5,0.0,Rams
1952,NFL,Los Angeles Rams*,9,3,0,2nd of 6,Lost Div,349,234,115,PoolStydahar,,Van Brocklin,Towler,Fears,1,2,6,9,3,2,4,12,9.6,-0.8,8.7,5.4,3.3,Rams
1951,NFL,Los Angeles Rams*,8,4,0,1st of 6,Won Champ,392,261,131,Stydahar,,Van Brocklin,Towler,Hirsch,1,1,6,8,9,2,1,12,10.9,-1.8,9.1,9.2,-0.1,Rams
1950,NFL,Los Angeles Rams*,9,3,0,1st of 7,Lost Champ,466,309,157,Stydahar,,Van Brocklin,Davis,Fears,1,1,9,10,6,2,1,13,13.1,-5.3,7.8,13.3,-5.5,Rams
1949,NFL,Los Angeles Rams*,8,2,2,1st of 5,Lost Champ,360,239,121,Shaughnessy,,Waterfield,Hoerner,Fears,2,3,4,4,5,2,3,10,10.1,-0.8,9.3,7.7,1.6,Rams
1948,NFL,Los Angeles Rams,6,5,1,3rd of 5,,327,269,58,Shaughnessy,,Hardy,Hoerner,Fears,4,3,5,4,5,4,3,10,4.8,1.4,6.2,5.0,1.3,Rams
1947,NFL,Los Angeles Rams,6,6,0,4th of 5,,259,214,45,Snyder,,Waterfield,Washington,Benton,6,5,2,3,5,5,5,10,3.8,2.1,5.9,0.9,5.0,Rams
1946,NFL,Los Angeles Rams,6,4,1,2nd of 5,,277,257,20,Walsh,,Waterfield,Gehrke,Benton,2,1,8,8,7,4,5,10,1.8,-0.1,1.8,5.9,-4.1,Rams
1945,NFL,Cleveland Rams*,9,1,0,1st of 5,Won Champ,244,136,108,Walsh,,Waterfield,Gehrke,Benton,3,2,3,3,2,2,2,10,10.8,0.6,11.4,5.3,6.1,Rams
1944,NFL,Cleveland Rams,4,6,0,4th of 5,,188,224,-36,Donelli,,Reisz,West,Benton,6,6,8,9,5,7,7,11,-3.6,1.9,-1.7,0.1,-1.8,Rams
1942,NFL,Cleveland Rams,5,6,0,3rd of 5,,150,207,-57,Clark,,Hall,Magnani,Benton,6,7,6,10,6,6,10,10,-5.2,0.3,-4.9,-3.3,-1.6,Rams
1941,NFL,Cleveland Rams,2,9,0,5th of 5,,116,244,-128,Clark,,Hall,Drake,Hickey,9,7,9,9,9,9,7,10,-11.6,4.4,-7.2,-4.6,-2.6,Rams
1940,NFL,Cleveland Rams,4,6,1,4th of 5,,171,191,-20,Clark,,Hall,Drake,Benton,5,5,8,10,6,7,7,10,-1.8,1.5,-0.3,1.0,-1.3,Rams
1939,NFL,Cleveland Rams,5,5,1,4th of 5,,195,164,31,Clark,,Hall,Hall,Benton,4,5,6,5,5,5,5,10,2.8,-0.6,2.2,1.5,0.8,Rams
1938,NFL,Cleveland Rams,4,7,0,4th of 5,,131,215,-84,LewisBezdek,,Snyder,Davis,Benton,6,9,10,9,7,9,9,10,-7.6,2.5,-5.2,0.2,-5.3,Rams
1937,NFL,Cleveland Rams,1,10,0,5th of 5,,75,207,-132,Bezdek,,Snyder,Drake,Drake,10,9,10,8,9,10,9,10,-12.0,3.5,-8.5,-5.0,-3.5,Rams
